"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.250411663,7.6,0,1,25,6.8,1.8,17,1,0,0.629,3.7,6,3.1,0.9,0,27.1,3.7
0.019414211,0.5,0,0,20,0,0,13,1,0,0.368,0.5,0.8,1,0.1,0,19.1,-11.8
0.02074633,0.7,0,0,21,1.1,0.2,13,1,0,0.366,1.4,1.8,0.8,0,0,22.5,-11.7
0.022193508,3.9,0,0,22,1.7,0.8,65,1,0,0.473,3.6,5,2.1,0.9,0,22.5,-4.6
0.038820653,4.1,0,0,23,1.9,0.6,53,1,0,0.465,5,6.4,2.1,1.5,0,21.7,-3.4
0.01615411,1.6,0,0,24,0.4,0.2,45,1,0,0.544,1.5,2,1.4,0.3,0,20.9,-1.7
0.064124783,3.8,0,0,22,1.5,0.3,63,1,0,0.515,2,2.7,3,1.7,0,20.5,-1.9
0.063744745,4.7,0,0,23,2.5,0.5,78,1,0,0.507,2.6,3.3,2.8,1.7,0,25.1,-1
0.063744745,3.2,0,0,24,2.4,0.3,56,1,0,0.484,1.6,2.1,2.2,1.2,0,22.7,-1.8
0.038332989,3.9,0,0,25,1.6,0.3,65,1,0,0.551,2.3,2.7,2.1,1,0,23.9,1.1
0.037918165,3.5,0,0,26,1.5,0.3,51,1,0,0.569,1.7,2,2,1,0,22,2.4
0.017339636,3.8,0,0,25,2.6,0.1,65,1,0,0.555,2.2,2.6,1.9,2.8,1,16,-0.4
0.05340776,1.8,0,0,26,1.1,0.1,82,1,0,0.466,1,1.1,1,2.3,1,21.4,-0.3
0.058576252,3.3,0,0,27,2.1,0.2,49,1,0,0.491,1.7,2.1,2.1,4.1,1,22.8,-0.3
0.034356414,2.3,0,0,29,1.4,0.1,63,1,0,0.555,1.3,1.6,1,1.7,1,16.6,1.3
0.051684929,4.5,0,0,27,3.8,0.4,76,1,0,0.555,2.4,4.6,2.6,0.8,0,20.5,-1.9
0.146440631,4.4,0,0,28,4.5,0.3,41,1,0,0.577,3.3,5.2,2.2,0.9,0,24,-0.2
0.068913238,4,0,0,29,3.4,0.4,81,1,0,0.605,3.7,6,2.3,0.8,0,20,-0.2
0.110772167,1.7,0,0,30,0.9,0.1,18,1,0,0.563,2.3,3.2,1.9,0.3,0,14.5,-3.1
0.019195355,2.5,0,0,30,1.3,0.1,72,0,0,0.529,1.4,1.8,1.4,3.1,1,13.9,-1.5
0.021073082,1.9,0,0,31,0.7,0,64,0,0,0.528,1.3,1.6,1.1,2,1,14,-2.3
0.23432409,7.9,0,0,28,4.9,0.5,78,0,0,0.599,8.9,11.2,3.5,3.2,0,24.8,3.4
0.248087658,7.3,0,1,29,4.1,0.3,59,0,0,0.542,7.4,9.6,3.2,2.5,0,26.9,1
